x,D x,D rho,rho unc,D dollars,dollars unc,coef rho,coef rho avg,coef rho unc,coef dollars,coef dollars avg,coef dollars unc,density
278.15,0,-0.0,0.0,-0.0,0.0,0,0,0,0,0,0,0.999881
283.15,5.0,-0.0530023074875527,-0.06693891341925,-0.070669743316737,-0.0892518845590001,-0.01060046149751054,-0.005300230748755186,-0.0006693891341924999,-0.014133948663347402,-0.007066974331673359,-0.000892518845590001,0.999545
288.15,10.0,0.0085128433118471,0.0695714034819274,0.0113504577491295,0.0927618713092366,0.00085128433118471,-0.003249725722108619,0.000695714034819274,0.0011350457749129499,-0.0043329676294781684,0.000927618713092366,0.99888
293.15,15.0,-0.0927919636048107,-0.0717177922464285,-0.1237226181397477,-0.095623722995238,-0.006186130906987381,-0.003983827018328303,-0.000717177922464285,-0.008248174542649847,-0.005311769357771067,-0.00095623722995238,0.997923
298.15,20.0,-0.0369062158017115,-0.0662757188511425,-0.0492082877356153,-0.0883676251348567,-0.001845310790085575,-0.003556123772679756,-0.000662757188511425,-0.002460414386780765,-0.004741498363573011,-0.000883676251348567,0.9967
303.15,25.0,-0.1269232902726144,-0.0676494943266083,-0.1692310536968193,-0.090199325768811,-0.005076931610904576,-0.0038095917457172273,-0.000676494943266083,-0.006769242147872771,-0.00507945566095631,-0.00090199325768811,0.995234
308.15,30.0,0.0453846174505643,0.0618715249916114,0.0605128232674191,0.0824953666554819,0.0015128205816854767,-0.003049247127516843,0.000618715249916114,0.00201709410891397,-0.00406566283668913,0.0008249536665548191,0.993539
313.15,35.0,0.0236431080466545,0.068210266290628,0.031524144062206,0.0909470217208373,0.0006755173727615571,-0.0025836515649820535,0.00068210266290628,0.0009006898303487429,-0.0034448687533094116,0.0009094702172083729,0.991628
318.15,40.0,-0.0719457055500385,-0.0682773373469981,-0.0959276074000514,-0.0910364497959975,-0.0017986426387509625,-0.002496428350956363,-0.0006827733734699811,-0.0023981901850012853,-0.0033285711346084826,-0.000910364497959975,0.989512
323.15,45.0,-0.0350129080195388,-0.0682514151870482,-0.0466838773593851,-0.0910018869160643,-0.0007780646226564178,-0.0023245919781263564,-0.0006825141518704821,-0.0010374194968752243,-0.0030994559708351402,-0.0009100188691606429,0.987197
328.15,50.0,-0.0198690979697474,-0.0631159133094587,-0.0264921306263298,-0.0841545510792783,-0.00039738195939494796,-0.002149391067332611,-0.0006311591330945871,-0.000529842612526596,-0.002865854756443482,-0.000841545510792783,0.984689
333.15,55.0,-0.0700510338660191,-0.0696276238892354,-0.0934013784880255,-0.0928368318523139,-0.0012736551612003474,-0.0020764130751549192,-0.0006962762388923539,-0.0016982068816004637,-0.0027685507668732344,-0.0009283683185231389,0.981992
338.15,60.0,-0.0340662817596667,-0.066925882048673,-0.045421709012889,-0.0892345093982307,-0.0005677713626611117,-0.0019603637126553897,-0.00066925882048673,-0.00075702848354815,-0.0026138182835405287,-0.000892345093982307,0.97911
343.15,65.0,-0.0312265134983085,-0.0675829650221062,-0.0416353513310781,-0.090110620029475,-0.00048040789997397693,-0.0018546525831781527,-0.000675829650221062,-0.0006405438666319709,-0.0024728701109042036,-0.0009011062002947499,0.976044
348.15,70.0,-0.0435333733507931,-0.0675915172027766,-0.0580444978010575,-0.0901220229370355,-0.0006219053335827586,-0.0017724694332051265,-0.0006759151720277661,-0.0008292071114436786,-0.0023632925776068377,-0.0009012202293703551,0.972795
353.15,75.0,-0.0871057349746075,-0.0696398342520067,-0.1161409799661434,-0.092853112336009,-0.0011614097996614332,-0.0017342782061086385,-0.0006963983425200671,-0.0015485463995485787,-0.0023123709414781856,-0.00092853112336009,0.969364
358.15,80.0,-0.005676056883563,-0.0682308314332986,-0.0075680758447507,-0.0909744419110648,-7.09507110445375e-05,-0.0016364354122813487,-0.0006823083143329859,-9.460094805938375e-05,-0.0021819138830418013,-0.000909744419110648,0.96575
363.15,85.0,-0.0766827074974931,-0.0689533306260796,-0.1022436099966575,-0.0919377741681062,-0.0009021494999705071,-0.001595641750486301,-0.000689533306260796,-0.0012028659999606766,-0.002127522333981735,-0.0009193777416810619,0.961952
368.15,90.0,-0.1164917349334797,-0.0710379102235703,-0.1553223132446396,-0.094717213631427,-0.0012943526103719966,-0.0015797844273223829,-0.000710379102235703,-0.0017258034804959956,-0.0021063792364298395,-0.00094717213631427,0.957969
