x,rho,rho unc,dollars,dollars unc
278.15,-0.0,0,-0.0,0.0
283.15,-0.05300230748755277,-0.06693891341925007,-0.07066974331673702,-0.0892518845590001
288.15,0.008512843311847174,0.06957140348192745,0.011350457749129565,0.0927618713092366
293.15,-0.09279196360481078,-0.07171779224642853,-0.1237226181397477,-0.09562372299523805
298.15,-0.036906215801711544,-0.06627571885114253,-0.04920828773561539,-0.0883676251348567
303.15,-0.12692329027261445,-0.06764949432660831,-0.1692310536968193,-0.09019932576881108
308.15,0.045384617450564387,0.061871524991611485,0.060512823267419184,0.08249536665548199
313.15,0.023643108046654544,0.06821026629062803,0.031524144062206064,0.09094702172083738
318.15,-0.07194570555003856,-0.06827733734699812,-0.09592760740005142,-0.0910364497959975
323.15,-0.035012908019538845,-0.06825141518704822,-0.046683877359385124,-0.0910018869160643
328.15,-0.0198690979697474,-0.06311591330945873,-0.02649213062632987,-0.0841545510792783
333.15,-0.07005103386601914,-0.06962762388923549,-0.09340137848802553,-0.09283683185231399
338.15,-0.034066281759666764,-0.06692588204867306,-0.04542170901288902,-0.08923450939823074
343.15,-0.031226513498308597,-0.06758296502210628,-0.04163535133107813,-0.09011062002947505
348.15,-0.043533373350793124,-0.06759151720277665,-0.0580444978010575,-0.09012202293703554
353.15,-0.08710573497460755,-0.06963983425200679,-0.11614097996614342,-0.09285311233600906
358.15,-0.005676056883563026,-0.06823083143329861,-0.007568075844750702,-0.09097444191106482
363.15,-0.07668270749749315,-0.06895333062607965,-0.10224360999665753,-0.09193777416810621
368.15,-0.1164917349334797,-0.0710379102235703,-0.1553223132446396,-0.09471721363142707
