x,keff,keff unc
278.15,1.02815,0.00052
283.15,1.02897,0.00048
288.15,1.02699,0.00057
293.15,1.02759,0.00056
298.15,1.02951,0.00056
303.15,1.02784,0.00052
308.15,1.02981,0.00051
313.15,1.02885,0.0005
318.15,1.0285,0.00049
323.15,1.02802,0.0005
328.15,1.0281,0.00052
333.15,1.02763,0.00054
338.15,1.02757,0.00053
343.15,1.02797,0.00042
348.15,1.02956,0.00056
353.15,1.02929,0.00055
358.15,1.02826,0.00051
363.15,1.02849,0.0005
368.15,1.02887,0.00056
